Code,Name,Registration_number,Keph level,Facility type,Owner,Regulatory body,Beds,Cots,County,Constituency,Sub county,Ward,Operation status,Open_whole_day,Open_public_holidays,Open_weekends,Open_late_night,Service_names,Approved,Public visible,Closed
16085,Nzoia Sugar Dispensary,,Level 2,Dispensaries and clinic-out patient only,Company Medical Service,Other,0,0,BUNGOMA,KANDUYI,kanduyi,BUKEMBE EAST,Operational,No,No,No,No,,Yes,Yes,No
16761,Ebenezer Nursing Home,,Level 3,Basic primary health care facility,Private Enterprise (Institution),Kenya MPDB - Institution,10,0,BUNGOMA,TONGAREN,tongaren,SOYSAMBU/MITUA,Operational,No,No,No,No,,Yes,Yes,No
15967,Lukhuna Dispensary,,Level 2,Dispensaries and clinic-out patient only,Ministry of Health,Ministry of Health,0,0,BUNGOMA,TONGAREN,tongaren,TONGAREN,Operational,No,No,No,No,,Yes,Yes,No
16152,Tongaren Health Centre,,Level 3,Basic primary health care facility,Ministry of Health,Ministry of Health,20,0,BUNGOMA,TONGAREN,tongaren,TONGAREN,Operational,Yes,No,No,No,,Yes,Yes,No
16092,Pwani Dispensary,,Level 2,Dispensaries and clinic-out patient only,Ministry of Health,Ministry of Health,0,0,BUNGOMA,TONGAREN,tongaren,NAITIRI/KABUYEFWE,Operational,No,No,No,No,,Yes,Yes,No
15973,Lungai Dispensary,,Level 2,Dispensaries and clinic-out patient only,Ministry of Health,Ministry of Health,0,0,BUNGOMA,TONGAREN,tongaren,NAITIRI/KABUYEFWE,Operational,No,No,No,No,,Yes,Yes,No
15943,Kibisi Dispensary,,Level 2,Dispensaries and clinic-out patient only,Ministry of Health,Ministry of Health,0,0,BUNGOMA,TONGAREN,tongaren,MBAKALO,Operational,No,No,No,No,,Yes,Yes,No
15990,Makhonge Health Centre,,Level 3,Basic primary health care facility,Ministry of Health,Ministry of Health,20,0,BUNGOMA,KIMILILI,kimilili,KAMUKUYWA,Operational,Yes,No,No,No,,Yes,Yes,No
16076,Nasusi Dispensary,,Level 2,Dispensaries and clinic-out patient only,Ministry of Health,Ministry of Health,8,0,BUNGOMA,KIMILILI,kimilili,MAENI,Operational,No,No,No,No,,Yes,Yes,No
15986,Maeni Dispensary,,Level 2,Dispensaries and clinic-out patient only,Ministry of Health,Ministry of Health,3,0,BUNGOMA,KIMILILI,kimilili,MAENI,Operational,No,No,No,No,,Yes,Yes,No
16071,Namwaya Clinic,,Level 2,Dispensaries and clinic-out patient only,Private Practice - Nurse / Midwifery,Nursing Council of Kenya (Private Practice),0,0,BUNGOMA,WEBUYE EAST,webuye east,NDIVISI,Operational,No,No,No,No,,Yes,Yes,No
15869,Ekitale Dispensary,,Level 2,Dispensaries and clinic-out patient only,Ministry of Health,Ministry of Health,0,0,BUNGOMA,KANDUYI,kanduyi,WEST SANG'ALO,Operational,No,No,Yes,No,,Yes,Yes,No
16489,Mayanja Dispensary,,Level 2,Dispensaries and clinic-out patient only,Ministry of Health,Other,0,0,BUNGOMA,KANDUYI,kanduyi,MARAKARU/TUUTI,Operational,No,No,No,No,,Yes,Yes,No
16713,Jordan Baptist Medical Clinic,,Level 2,Dispensaries and clinic-out patient only,Other Faith Based,Kenya MPDB - Private Practice,0,0,BUNGOMA,KANDUYI,kanduyi,MUSIKOMA,Operational,No,Yes,Yes,No,,Yes,Yes,No
16710,Kayaya Dispensary,,Level 2,Dispensaries and clinic-out patient only,Ministry of Health,Ministry of Health,0,0,BUNGOMA,WEBUTE WEST,webuye west,MATULO,Operational,No,No,No,No,,Yes,Yes,No
16126,Sinoko Dispensary (Bungoma East),,Level 2,Secondary care hospitals,Ministry of Health,Other,20,1,BUNGOMA,WEBUYE EAST,webuye east,NDIVISI,Operational,Yes,No,No,No,,Yes,Yes,No
16124,Siboti Health Centre,,Level 3,Basic primary health care facility,Ministry of Health,Ministry of Health,24,0,BUNGOMA,BUMULA,bumula,SIBOTI,Operational,Yes,No,Yes,No,,Yes,Yes,No
15922,Kapkateny Dispensary,,Level 2,Dispensaries and clinic-out patient only,Ministry of Health,Ministry of Health,0,0,BUNGOMA,MT. ELGON,Cheptais,KAPKATENY,Operational,No,No,No,No,,Yes,Yes,No
15956,Kopsiro Health Centre,,Level 3,Basic primary health care facility,Ministry of Health,Ministry of Health,20,2,BUNGOMA,MT. ELGON,Cheptais,KAPKATENY,Operational,Yes,No,Yes,No,,Yes,Yes,No
16148,Tamlega Dispensary,,Level 2,Dispensaries and clinic-out patient only,Ministry of Health,Ministry of Health,0,0,BUNGOMA,SIRISIA,sirisia,LWANDANYI,Operational,No,No,No,No,,Yes,Yes,No
15958,Korosiandet Dispensary,,Level 2,Dispensaries and clinic-out patient only,Ministry of Health,Ministry of Health,0,0,BUNGOMA,SIRISIA,sirisia,LWANDANYI,Operational,No,No,No,No,,Yes,Yes,No
15837,Butonge Dispensary,,Level 2,Dispensaries and clinic-out patient only,Christian Health Association of Kenya,Kenya MPDB - Institution,0,0,BUNGOMA,SIRISIA,sirisia,MALAKISI/SOUTH KULISIRU,Operational,No,No,No,No,,Yes,Yes,No
15924,Kaptalelio Dispensary,,Level 2,Dispensaries and clinic-out patient only,Ministry of Health,Ministry of Health,0,0,BUNGOMA,MT. ELGON,mt elgon,KAPTAMA,Operational,No,No,No,No,,Yes,Yes,No
15910,Kaborom Dispensary,,Level 2,Dispensaries and clinic-out patient only,Ministry of Health,Ministry of Health,0,0,BUNGOMA,MT. ELGON,mt elgon,KAPTAMA,Operational,No,No,No,No,,Yes,Yes,No
15925,Kaptama (Friends) Health Centre,,Level 3,Basic primary health care facility,Other Faith Based,Kenya MPDB - Institution,26,0,BUNGOMA,MT. ELGON,mt elgon,KAPTAMA,Operational,Yes,No,Yes,No,,Yes,Yes,No
15935,Khasoko Health Centre,,Level 3,Basic primary health care facility,Christian Health Association of Kenya,Kenya MPDB - Institution,16,4,BUNGOMA,BUMULA,bumula,KHASOKO,Operational,Yes,No,Yes,No,,Yes,Yes,No
15966,Lukhome Dispensary (Bungoma West),,Level 2,Dispensaries and clinic-out patient only,Ministry of Health,Other,3,0,BUNGOMA,KABUCHAI,kabuchai,MUKUYUNI,Operational,No,No,No,No,,Yes,Yes,No
15819,Bukembe Dispensary,,Level 2,Dispensaries and clinic-out patient only,Ministry of Health,Ministry of Health,14,0,BUNGOMA,KANDUYI,kanduyi,BUKEMBE EAST,Operational,No,No,No,No,,Yes,Yes,No
16160,Webuye Health Centre,,Level 3,Basic primary health care facility,Ministry of Health,Ministry of Health,23,0,BUNGOMA,WEBUYE EAST,webuye east,MARAKA,Operational,Yes,No,No,No,,Yes,Yes,No
16138,St Damiano Medical Centre,,Level 3,Primary care hospitals,Kenya Episcopal Conference-Catholic Secretariat,Kenya MPDB - Institution,50,0,BUNGOMA,KANDUYI,kanduyi,KHALABA,Operational,Yes,Yes,Yes,No,,Yes,Yes,No
15871,Elgon View Medical Cottage,,Level 3,Primary care hospitals,Private Enterprise (Institution),Kenya MPDB - Institution,26,0,BUNGOMA,KANDUYI,kanduyi,KHALABA,Operational,Yes,Yes,Yes,Yes,,Yes,Yes,No
15948,Kimalewa Health Centre,,Level 3,Basic primary health care facility,Ministry of Health,Ministry of Health,11,0,BUNGOMA,KABUCHAI,kabuchai,MUKUYUNI,Operational,Yes,No,No,No,,Yes,Yes,No
15911,Kabuchai Health Centre,,Level 3,Basic primary health care facility,Ministry of Health,Ministry of Health,13,0,BUNGOMA,KABUCHAI,kabuchai,WEST NALONDO,Operational,Yes,No,No,No,,Yes,Yes,No
16063,Nalondo Cbm Dispensary,,Level 2,Dispensaries and clinic-out patient only,Other Faith Based,Kenya MPDB - Institution,2,0,BUNGOMA,KABUCHAI,kabuchai,KABUCHAI/CHWELE,Operational,No,No,No,No,,Yes,Yes,No
16081,Ngalasia Dispensary,,Level 2,Dispensaries and clinic-out patient only,Ministry of Health,Ministry of Health,2,0,BUNGOMA,KABUCHAI,kabuchai,WEST NALONDO,Operational,No,No,No,No,,Yes,Yes,No
16016,Mihuu Dispensary,,Level 2,Dispensaries and clinic-out patient only,Public Institution,Ministry of Health,0,0,BUNGOMA,WEBUYE EAST,webuye east,MARAKA,Operational,No,No,No,No,,Yes,Yes,No
16125,Sikulu Dispensary,,Level 2,Dispensaries and clinic-out patient only,Ministry of Health,Ministry of Health,0,0,BUNGOMA,KABUCHAI,kabuchai,MUKUYUNI,Operational,No,No,No,No,,Yes,Yes,No
15984,Machwele Dispensary,,Level 2,Dispensaries and clinic-out patient only,Other Faith Based,Ministry of Health,0,0,BUNGOMA,BUMULA,bumula,WEST BUKUSU,Operational,No,No,No,No,,Yes,Yes,No
15825,Bumula Health Centre,,Level 3,Basic primary health care facility,Ministry of Health,Ministry of Health,51,0,BUNGOMA,BUMULA,bumula,BUMULA,Operational,Yes,No,Yes,No,,Yes,Yes,No
16018,Milo Health Centre,,Level 3,Basic primary health care facility,Ministry of Health,Ministry of Health,4,0,BUNGOMA,WEBUTE WEST,webuye west,SITIKHO,Operational,No,No,No,No,,Yes,Yes,No
16025,Mt Elgon Sub County Hospital,,Level 4,Secondary care hospitals,Ministry of Health,Ministry of Health,31,0,BUNGOMA,MT. ELGON,mt elgon,ELGON,Operational,Yes,Yes,Yes,Yes,,Yes,Yes,No
15941,Kibabii Health Centre,,Level 3,Basic primary health care facility,Kenya Episcopal Conference-Catholic Secretariat,Kenya MPDB - Institution,28,2,BUNGOMA,KANDUYI,kanduyi,MARAKARU/TUUTI,Operational,No,No,No,No,,Yes,Yes,No
15808,Bokoli Hospital,,Level 4,Primary care hospitals,Ministry of Health,Ministry of Health,14,0,BUNGOMA,WEBUTE WEST,webuye west,BOKOLI,Operational,Yes,No,Yes,No,,Yes,Yes,No
16161,Webuye Hospital,,Level 4,Secondary care hospitals,Ministry of Health,Ministry of Health,187,30,BUNGOMA,WEBUTE WEST,webuye west,MISIKHU,Operational,Yes,No,No,No,,Yes,Yes,No
16061,Naitiri Sub-County Hospital,,Level 4,Hospitals,Ministry of Health,Ministry of Health,20,0,BUNGOMA,TONGAREN,tongaren,MBAKALO,Operational,Yes,No,No,No,,Yes,Yes,No
15965,Lugulu Friends Mission Hospital,,Level 4,Primary care hospitals,Other Faith Based,Kenya MPDB - Institution,110,0,BUNGOMA,WEBUTE WEST,webuye west,MISIKHU,Operational,No,No,No,No,,Yes,Yes,No
15933,Khaoya Dispensary,,Level 2,Dispensaries and clinic-out patient only,Public Institution,Ministry of Health,0,0,BUNGOMA,WEBUYE EAST,webuye east,NDIVISI,Operational,No,No,No,No,,Yes,Yes,No
